;TP_SEXO;TP_COR_RACA;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO;CO_MUNICIPIO_ESC;Q001;Q002;Q003;Q004;Q022;Q024;Q025;RendaMaxima;ClasseSocial;anosEstudoPai;anosEstudoMae;RazaoPessoasQuarto;PessoasPorQuarto;mediaNota;NOTA_MT;NOTA_LC;NOTA_CH;NOTA_CN;NOTA_REDACAO;Cluster
536;F;Amarelo;Estadual;Urbano;430.7;453.4;527.2;556.7;600.0;2211001.0;FundamentalIncompleto;Medio;Grupo(A,B,C);Grupo(A,B,C);Sim;Sim;Sim;1497;E;4;12;2.0;(1, 2];513.6;(500, 650];(500, 650];(300, 500];(300, 500];(500.0, 650.0];1
537;F;Preta;Estadual;Urbano;468.6;514.5;553.3;682.4;820.0;2211001.0;NaoSabe;FundamentalCompleto;NãoSabe;Grupo(A,B,C);Sim;Sim;Sim;1497;E;0;9;1.67;(1, 2];607.76;(650, 800];(500, 650];(500, 650];(300, 500];(800.0, 1000.0];0
538;F;Parda;Estadual;Urbano;520.8;464.8;530.5;495.9;480.0;2211001.0;Medio;Medio;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Sim;998;E;12;12;1.5;(1, 2];498.4;(300, 500];(500, 650];(300, 500];(500, 650];(300.0, 500.0];1
539;F;Parda;Estadual;Urbano;489.6;520.7;551.1;381.1;760.0;2211001.0;NaoSabe;FundamentalCompleto;NãoSabe;Grupo(D,E);Sim;Não;Nao;998;E;0;9;1.5;(1, 2];540.5;(300, 500];(500, 650];(500, 650];(300, 500];(650.0, 800.0];1
540;F;Parda;Estadual;Urbano;478.9;436.5;446.5;478.6;500.0;2211001.0;NaoSabe;FundamentalIncompleto;NãoSabe;Grupo(A,B,C);Sim;Não;Nao;998;E;0;0;2.0;(1, 2];468.1;(300, 500];(300, 500];(300, 500];(300, 500];(300.0, 500.0];1
541;F;Parda;Particular;Urbano;611.5;610.3;654.0;806.4;900.0;2211001.0;Superior;Superior;Grupo(D,E);Grupo(D,E);Sim;Sim;Sim;3992;D;16;16;1.33;(1, 2];716.4399999999998;(800, 1000];(650, 800];(500, 650];(500, 650];(800.0, 1000.0];0
542;F;Parda;Estadual;Urbano;607.2;636.0;618.0;716.3;960.0;2211001.0;Medio;Superior;Grupo(D,E);Grupo(D,E);Sim;Sim;Sim;3992;D;12;16;2.0;(1, 2];707.5;(650, 800];(500, 650];(500, 650];(500, 650];(800.0, 1000.0];0
543;M;Preta;Estadual;Urbano;473.7;448.2;527.2;565.1;620.0;2211001.0;FundamentalCompleto;FundamentalIncompleto;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Sim;998;E;9;4;1.5;(1, 2];526.8399999999998;(500, 650];(500, 650];(300, 500];(300, 500];(500.0, 650.0];1
544;M;Parda;Estadual;Urbano;500.6;513.3;537.2;539.8;760.0;2211001.0;FundamentalCompleto;Medio;Grupo(A,B,C);Grupo(A,B,C);Sim;Não;Sim;1497;E;9;12;1.33;(1, 2];570.1800000000002;(500, 650];(500, 650];(500, 650];(500, 650];(650.0, 800.0];0
545;M;Parda;Particular;Urbano;474.3;368.9;468.0;607.8;600.0;2211001.0;Superior;Superior;Grupo(A,B,C);Grupo(A,B,C);Sim;Sim;Sim;2495;D;16;16;2.5;(2, 3];503.8;(500, 650];(300, 500];(300, 500];(300, 500];(500.0, 650.0];1
